city_id,city,province,region,degurba,mean_residents,mean_area_km2,collisions,fatalities,injuries,years_recorded,injury_rate,fatality_rate,per_capita_accidents_rate,collision_density,resident_density,injury_rate_log,fatality_rate_log,per_capita_accidents_rate_log,collision_density_log,injury_rate_pct,fatality_rate_pct,per_capita_accidents_rate_pct,collision_density_pct,severity_subscore,frequency_subscore,risk_score_equal,risk_score_frequency_heavy,risk_score_severity_heavy
72033,Palo del Colle,BA,Puglia,2,20553.5,79.7123,130.0,2.0,210.0,4,1.6153846153846154,0.015384615384615385,15.812392050015811,1.6308649982499563,257.84602878100367,0.9614111671546247,0.015267472130788435,2.8221162365245407,0.9673126887880059,0.8719730051607781,0.36403334656609765,0.19134577213179832,0.31044065105200475,0.5672092100039698,0.25089321159190153,0.4090512107979357,0.34578801111552204,0.47231441048034933
72035,Polignano a Mare,BA,Puglia,2,17511.5,63.0967,190.0,5.0,320.0,4,1.6842105263157894,0.02631578947368421,27.125032121748564,3.0112509845998288,277.5343242990521,0.9873866535578852,0.025975486403260657,3.3366600026305475,1.3891031589015015,0.924771734815403,0.5909090909090909,0.6605795950774117,0.5085351329892814,0.7244541484716158,0.5845573640333466,0.6545057562524812,0.6265263993648273,0.6824851131401349
72036,Putignano,BA,Puglia,2,25907.0,100.154,229.0,4.0,299.0,4,1.3056768558951966,0.017467248908296942,22.098274597599104,2.2864788226131756,258.6716456656749,0.8353742801520219,0.017316450011460916,3.1397579219934784,1.1898167249499876,0.2794759825327511,0.40809845176657406,0.4700277888050814,0.4196109567288607,0.3566494640730449,0.44481937276697103,0.40073441842000795,0.4183684001587931,0.38310043668122273
72037,Rutigliano,BA,Puglia,2,18252.5,53.8522,151.0,5.0,246.0,4,1.6291390728476822,0.033112582781456956,20.682098342692782,2.8039708684139177,338.9369422233446,0.9666564438722661,0.03257617043461272,3.0764869589124584,1.3360454865081623,0.8836840015879317,0.7102024612941643,0.4053195712584359,0.48630408892417626,0.7795950774116713,0.4458118300913061,0.6127034537514887,0.5459468042874156,0.6794601032155617
72038,Ruvo di Puglia,BA,Puglia,2,24379.5,223.8251,146.0,1.0,226.0,4,1.547945205479452,0.00684931506849315,14.971594987592034,0.6522950285736497,108.92210033637872,0.9352872325648101,0.006825965070399863,2.7708118312280763,0.5021652478786879,0.796347757046447,0.20265978562921794,0.15442635966653434,0.09329098848749504,0.4401349741961096,0.12385867407701469,0.28199682413656213,0.21874156411274315,0.3452520841603811
72039,Sammichele di Bari,BA,Puglia,2,5994.75,34.2339,44.0,2.0,75.0,4,1.7045454545454546,0.045454545454545456,18.34938904875099,1.2852757062443951,175.11151227292245,0.9949338591932683,0.04445176257083384,2.9626608452693715,0.8264866762553528,0.9337038507344184,0.8197697499007542,0.30408892417626043,0.24295355299722113,0.8653433902342199,0.27352123858674077,0.5694323144104804,0.45106788408098447,0.6877967447399761
72040,Sannicandro di Bari,BA,Puglia,2,9562.75,56.7931,76.0,1.0,118.0,4,1.5526315789473684,0.013157894736842105,19.868761601003893,1.3381907309162555,168.37872910617662,0.937124818776997,0.01307208156735277,3.0382533806128245,0.849377438386443,0.8013100436681223,0.314807463279079,0.36959110758237396,0.2548630408892418,0.5094084954346964,0.31222707423580787,0.4108177848352521,0.37138150059547437,0.45025406907502974
72041,Santeramo in Colle,BA,Puglia,2,25748.25,144.8516,165.0,4.0,257.0,4,1.5575757575757576,0.024242424242424242,16.020506247997435,1.1390968411809053,177.75606206628026,0.9390598401354312,0.023953241022492862,2.834418867003547,0.760383703119799,0.8074632790789996,0.5452560539896785,0.203652242953553,0.20682810639142518,0.650138944025407,0.2052401746724891,0.42768955934894803,0.33870980547836443,0.5166693132195316
72043,Terlizzi,BA,Puglia,2,26087.0,69.2295,111.0,5.0,155.0,4,1.3963963963963963,0.04504504504504504,10.637482270862881,1.6033627283166858,376.8191305729494,0.8739661074693649,0.04405998979403051,2.454231119153078,0.956803966406558,0.5025803890432712,0.815601429138547,0.03572846367606193,0.30647082175466456,0.6903930131004367,0.17109964271536324,0.43074632790789996,0.32688765383088525,0.5346050019849146
72044,Toritto,BA,Puglia,2,8020.75,75.3507,47.0,3.0,82.0,4,1.7446808510638299,0.06382978723404255,14.649502851977681,0.6237500116123672,106.44559373701902,1.0096648026516135,0.06187540371808747,2.750439149834798,0.4847382961542456,0.9523620484319174,0.9190154823342597,0.14291385470424772,0.08376339817387853,0.9323541087733227,0.11333862643906312,0.522846367606193,0.359043271139341,0.6866494640730447
