Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;001181;1181;Pavone Canavese;;TO;0;0;3890;2011;11,5400;2011;3923;2011
1;01;001;001182;1182;Pecco;;TO;0;0;209;2011;1,5680;2011;210;2011
1;01;001;001183;1183;Pecetto Torinese;;TO;0;0;3877;2011;9,1730;2011;3948;2011
1;01;001;001184;1184;Perosa Argentina;;TO;0;0;3405;2011;26,0906;2011;3423;2011
1;01;001;001185;1185;Perosa Canavese;;TO;0;0;556;2011;4,7080;2011;566;2011
1;01;001;001186;1186;Perrero;;TO;0;0;723;2011;63,1830;2011;726;2011
1;01;001;001187;1187;Pertusio;;TO;0;0;773;2011;4,0041;2011;777;2011
1;01;001;001188;1188;Pessinetto;;TO;0;0;607;2011;5,3498;2011;619;2011
1;01;001;001189;1189;Pianezza;;TO;0;0;14169;2011;16,4634;2011;14280;2011
1;01;001;001190;1190;Pinasca;;TO;0;0;3049;2011;34,7183;2011;3059;2011
1;01;001;001191;1191;Pinerolo;;TO;0;0;34854;2011;50,3376;2011;35582;2011
1;01;001;001192;1192;Pino Torinese;;TO;0;0;8481;2011;21,8196;2011;8555;2011
1;01;001;001193;1193;Piobesi Torinese;;TO;0;0;3713;2011;19,6488;2011;3729;2011
1;01;001;001194;1194;Piossasco;;TO;0;0;18186;2011;40,1459;2011;18296;2011
1;01;001;001195;1195;Piscina;;TO;0;0;3450;2011;9,9034;2011;3491;2011
1;01;001;001196;1196;Piverone;;TO;0;0;1378;2011;11,0343;2011;1392;2011
1;01;001;001197;1197;Poirino;;TO;0;0;10220;2011;75,6186;2011;10301;2011
1;01;001;001198;1198;Pomaretto;;TO;0;0;1068;2011;8,5611;2011;1077;2011
1;01;001;001199;1199;Pont Canavese;;TO;0;0;3676;2011;19,0609;2011;3685;2011
1;01;001;001200;1200;Porte;;TO;0;0;1113;2011;4,4476;2011;1127;2011
1;01;001;001201;1201;Pragelato;;TO;0;0;724;2011;89,2017;2011;791;2011
1;01;001;001202;1202;Prali;;TO;0;0;272;2011;72,6092;2011;273;2011
1;01;001;001203;1203;Pralormo;;TO;0;0;1945;2011;29,8455;2011;1971;2011
1;01;001;001204;1204;Pramollo;;TO;0;0;242;2011;22,4785;2011;242;2011
1;01;001;001205;1205;Prarostino;;TO;0;0;1289;2011;10,5052;2011;1278;2011
1;01;001;001206;1206;Prascorsano;;TO;0;0;781;2011;6,2419;2011;787;2011
1;01;001;001207;1207;Pratiglione;;TO;0;0;548;2011;7,8803;2011;548;2011
1;01;001;001208;1208;Quagliuzzo;;TO;0;0;331;2011;2,0380;2011;334;2011
1;01;001;001209;1209;Quassolo;;TO;0;0;359;2011;3,9559;2011;362;2011
1;01;001;001210;1210;Quincinetto;;TO;0;0;1048;2011;17,7879;2011;1056;2011
1;01;001;001211;1211;Reano;;TO;0;0;1689;2011;6,6658;2011;1719;2011
1;01;001;001212;1212;Ribordone;;TO;0;0;67;2011;43,6002;2011;67;2011
1;01;001;001213;1213;Rivalba;;TO;0;0;1159;2011;10,8334;2011;1167;2011
1;01;001;001214;1214;Rivalta di Torino;;TO;0;0;19245;2011;25,1076;2011;19474;2011
1;01;001;001215;1215;Riva presso Chieri;;TO;0;0;4207;2011;35,8318;2011;4281;2011
1;01;001;001216;1216;Rivara;;TO;0;0;2666;2011;12,5838;2011;2685;2011
1;01;001;001217;1217;Rivarolo Canavese;;TO;0;0;12356;2011;32,2459;2011;12420;2011
1;01;001;001218;1218;Rivarossa;;TO;0;0;1626;2011;10,8733;2011;1629;2011
1;01;001;001219;1219;Rivoli;;TO;0;0;48632;2011;29,4998;2011;48998;2011
1;01;001;001220;1220;Robassomero;;TO;0;0;2976;2011;8,5756;2011;2981;2011
1;01;001;001221;1221;Rocca Canavese;;TO;0;0;1754;2011;14,1912;2011;1763;2011
1;01;001;001222;1222;Roletto;;TO;0;0;1989;2011;9,7039;2011;2009;2011
1;01;001;001223;1223;Romano Canavese;;TO;0;0;2937;2011;11,2106;2011;2952;2011
1;01;001;001224;1224;Ronco Canavese;;TO;0;0;313;2011;96,2686;2011;323;2011
1;01;001;001225;1225;Rondissone;;TO;0;0;1834;2011;10,6877;2011;1851;2011
1;01;001;001226;1226;Rorà;;TO;0;0;255;2011;12,4075;2011;254;2011
1;01;001;001227;1227;Roure;;TO;0;0;888;2011;59,3732;2011;900;2011
1;01;001;001228;1228;Rosta;;TO;0;0;4621;2011;9,0650;2011;4684;2011
1;01;001;001229;1229;Rubiana;;TO;0;0;2417;2011;26,9371;2011;2432;2011
1;01;001;001230;1230;Rueglio;;TO;0;0;773;2011;15,1002;2011;773;2011
1;01;001;001231;1231;Salassa;;TO;0;0;1795;2011;4,9519;2011;1797;2011
1;01;001;001232;1232;Salbertrand;;TO;0;0;579;2011;38,3198;2011;582;2011
1;01;001;001233;1233;Salerano Canavese;;TO;0;0;522;2011;2,1034;2011;520;2011
1;01;001;001234;1234;Salza di Pinerolo;;TO;0;0;78;2011;15,8859;2011;78;2011
1;01;001;001235;1235;Samone;;TO;0;0;1614;2011;2,4330;2011;1618;2011
1;01;001;001236;1236;San Benigno Canavese;;TO;0;0;5615;2011;22,2318;2011;5687;2011
1;01;001;001237;1237;San Carlo Canavese;;TO;0;0;3874;2011;20,9068;2011;3887;2011
1;01;001;001238;1238;San Colombano Belmonte;;TO;0;0;376;2011;3,3809;2011;377;2011
1;01;001;001239;1239;San Didero;;TO;0;0;566;2011;3,3037;2011;562;2011
1;01;001;001240;1240;San Francesco al Campo;;TO;0;0;4825;2011;14,9796;2011;4915;2011
1;01;001;001241;1241;Sangano;;TO;0;0;3807;2011;6,6513;2011;3805;2011
1;01;001;001242;1242;San Germano Chisone;;TO;0;0;1874;2011;15,8616;2011;1899;2011
1;01;001;001243;1243;San Gillio;;TO;0;0;3023;2011;8,8866;2011;3025;2011
1;01;001;001244;1244;San Giorgio Canavese;;TO;0;0;2705;2011;20,4049;2011;2722;2011
1;01;001;001245;1245;San Giorio di Susa;;TO;0;0;1040;2011;19,7366;2011;1051;2011
1;01;001;001246;1246;San Giusto Canavese;;TO;0;0;3397;2011;9,6132;2011;3432;2011
1;01;001;001247;1247;San Martino Canavese;;TO;0;0;851;2011;9,7933;2011;855;2011
1;01;001;001248;1248;San Maurizio Canavese;;TO;0;0;9646;2011;17,3442;2011;9730;2011
1;01;001;001249;1249;San Mauro Torinese;;TO;0;0;18925;2011;12,5517;2011;19094;2011
1;01;001;001250;1250;San Pietro Val Lemina;;TO;0;0;1430;2011;12,4446;2011;1465;2011
1;01;001;001251;1251;San Ponso;;TO;0;0;279;2011;2,1243;2011;280;2011
1;01;001;001252;1252;San Raffaele Cimena;;TO;0;0;3107;2011;11,1520;2011;3113;2011
1;01;001;001253;1253;San Sebastiano da Po;;TO;0;0;1909;2011;16,5766;2011;1922;2011
1;01;001;001254;1254;San Secondo di Pinerolo;;TO;0;0;3608;2011;12,5719;2011;3642;2011
1;01;001;001255;1255;Sant'Ambrogio di Torino;;TO;0;0;4753;2011;8,3683;2011;4770;2011
1;01;001;001256;1256;Sant'Antonino di Susa;;TO;0;0;4333;2011;9,7945;2011;4370;2011
1;01;001;001257;1257;Santena;;TO;0;0;10738;2011;16,1983;2011;10820;2011
1;01;001;001258;1258;Sauze di Cesana;;TO;0;0;219;2011;78,2772;2011;234;2011
1;01;001;001259;1259;Sauze d'Oulx;;TO;0;0;1111;2011;17,3112;2011;1137;2011
1;01;001;001260;1260;Scalenghe;;TO;0;0;3303;2011;31,6768;2011;3311;2011
1;01;001;001261;1261;Scarmagno;;TO;0;0;812;2011;8,0308;2011;825;2011
1;01;001;001262;1262;Sciolze;;TO;0;0;1513;2011;11,3557;2011;1517;2011
1;01;001;001263;1263;Sestriere;;TO;0;0;838;2011;25,9158;2011;873;2011
1;01;001;001264;1264;Settimo Rottaro;;TO;0;0;503;2011;6,0578;2011;505;2011
1;01;001;001265;1265;Settimo Torinese;;TO;0;0;46875;2011;32,3660;2011;47501;2011
1;01;001;001266;1266;Settimo Vittone;;TO;0;0;1543;2011;23,2604;2011;1546;2011
1;01;001;001267;1267;Sparone;;TO;0;0;1085;2011;29,6785;2011;1096;2011
1;01;001;001268;1268;Strambinello;;TO;0;0;264;2011;2,2140;2011;267;2011
1;01;001;001269;1269;Strambino;;TO;0;0;6336;2011;22,4686;2011;6402;2011
1;01;001;001270;1270;Susa;;TO;0;0;6629;2011;10,9879;2011;6655;2011
1;01;001;001271;1271;Tavagnasco;;TO;0;0;813;2011;8,6751;2011;819;2011
1;01;001;001272;1272;Torino;;TO;1;1;872367;2011;130,0091;2011;888880;2011
1;01;001;001273;1273;Torrazza Piemonte;;TO;0;0;2816;2011;9,8238;2011;2869;2011
1;01;001;001274;1274;Torre Canavese;;TO;0;0;589;2011;5,4545;2011;594;2011
1;01;001;001275;1275;Torre Pellice;;TO;0;0;4573;2011;21,0981;2011;4592;2011
1;01;001;001276;1276;Trana;;TO;0;0;3881;2011;16,4059;2011;3917;2011
1;01;001;001277;1277;Trausella;;TO;0;0;131;2011;12,2462;2011;133;2011
1;01;001;001278;1278;Traversella;;TO;0;0;350;2011;39,3597;2011;352;2011
1;01;001;001279;1279;Traves;;TO;0;0;553;2011;10,4544;2011;544;2011
1;01;001;001280;1280;Trofarello;;TO;0;0;10911;2011;12,3475;2011;10958;2011
1;01;001;001281;1281;Usseaux;;TO;0;0;185;2011;37,9669;2011;185;2011
1;01;001;001282;1282;Usseglio;;TO;0;0;219;2011;98,5375;2011;218;2011
1;01;001;001283;1283;Vaie;;TO;0;0;1455;2011;7,2292;2011;1471;2011
1;01;001;001284;1284;Val della Torre;;TO;0;0;3812;2011;36,5253;2011;3823;2011
1;01;001;001285;1285;Valgioie;;TO;0;0;948;2011;9,1200;2011;961;2011
1;01;001;001286;1286;Vallo Torinese;;TO;0;0;785;2011;6,0792;2011;780;2011
